wbid,waterbody,gauge,changed,A_2019,A_2026,B_2019,B_2026,C_2019,C_2026,D_2019,D_2026,E_2019,E_2026,F_2019,F_2026
1,Alley Creek,Tallman Island,True,-0.081,-4.7,1.7,10.0,-0.046,-0.19,3.8,1.2,0.0013,0.0034,-0.12,-0.12
2,Lower New York Bay,Oakwood Beach,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,"Arthur Kill, Lower",Port Richmond,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,"Arthur Kill, Upper",Port Richmond,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5,Bowery Bay,Bowery Bay,True,-0.7,-4.9,20,23.0,-0.25,-0.22,2.9,1.8,-0.0019,0.0026,-0.034,-0.25
6,"Bronx River, Lower",Hunts Point,True,-0.87,-11.0,39,51.0,-0.63,-0.73,3.4,0.11,0.0006,0.017,-0.27,-0.77
7,Coney Island Creek,Coney Island,True,-0.025,-0.47,1.4,4.4,-0.018,-0.058,3,2.0,0.0075,0.0076,-0.35,-0.3
8,"East River, Lower",Newtown Creek,True,0.15,-25.0,65,115.0,-1.8,-1.9,37,25.0,0.075,0.077,-3.6,-3.5
9,East River (near Steinway Creek),Newtown Creek,True,-0.073,-0.11,2.8,2.7,-0.028,-0.044,-0.096,0.11,-3.1e-05,0.00022,-0.019,-0.013
10,East River (RFK to Whitestone),Newtown Creek,True,0.1,-4.6,29,34.0,-0.47,-0.58,5.2,3.4,0.019,0.005,-0.9,-0.32
11,East River (near Throgs Neck),Newtown Creek,True,-0.39,-1.9,13,16.0,-0.02,-0.035,0.6,1.8,-0.0019,0.0023,-0.13,-0.26
12,Eastchester Bay,Hunts Point,True,-0.048,-0.74,1.8,4.1,-0.05,-0.059,3.1,1.2,0.0057,0.0039,-0.27,-0.17
13,Erie Basin,Red Hook,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
14,Flushing Bay,Tallman Island,True,-0.79,-6.2,43,47.0,-0.38,-0.39,-1.6,7.4,-0.015,-0.0085,0.25,-0.54
15,Flushing Creek,Tallman Island,True,-0.32,-4.3,6.5,31.0,-0.038,-0.33,25,11.0,-0.0019,-0.0019,-0.64,-0.17
16,Fresh Creek,26th Ward,True,0.32,-17.0,4.4,43.0,-0.25,-0.79,19,3.8,0.044,0.05,-1.8,-1.6
17,"Fresh Kills, Lower",Port Richmond,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
18,"Fresh Kills, Upper",Port Richmond,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
19,Gerritsen Creek,Rockaway,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20,"Gowanus Canal, Inner",Red Hook,True,-0.16,-1.6,10,12.0,-0.2,-0.21,2.7,2.2,0.0076,0.011,-0.4,-0.43
21,"Gowanus Canal, Outer",Red Hook,True,-0.04,-1.0,3.2,4.1,-0.059,-0.042,0.52,0.039,0.0022,0.0011,-0.12,-0.053
22,Harlem River,Wards Island,True,-3.2,-19.0,88,97.0,-1.3,-1.5,29,14.0,0.053,0.044,-3.1,-2.1
23,Hendrix Creek,26th Ward,True,0.056,-0.75,1.7,5.9,-0.059,-0.079,4.6,1.2,0.0084,0.0028,-0.4,-0.16
24,Hudson River (Bronx),North River,True,-0.018,-0.76,0.93,4.4,0.022,-0.054,-0.23,0.21,-0.0034,0.0016,0.097,-0.065
25,Hudson River (Manhattan),North River,True,-0.28,-0.72,9.6,8.7,0.034,-0.078,-2.1,18.0,-0.029,0.026,0.68,-1.4
26,"Hutchinson River, Lower",Hunts Point,True,-0.23,-2.5,12,17.0,-0.25,-0.32,4.7,2.0,0.011,0.0068,-0.52,-0.31
27,Jamaica Bay (Brooklyn),26th Ward,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
28,Kill Van Kull,Port Richmond,True,-0.25,-2.5,4.9,11.0,-0.017,-0.23,-0.95,1.1,-0.0046,0.0044,0.072,-0.17
29,Little Neck Bay,Tallman Island,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
30,Gravesend Bay,Coney Island,True,-1.4,-3.2,27,41.0,0.29,-0.42,5.7,3.6,-0.0096,0.0089,-0.34,-0.49
31,Mill Basin,Coney Island,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
32,Newark Bay,Port Richmond,True,-0.011,0.55,0.44,0.83,-0.0063,-0.063,-0.065,0.39,-0.00012,0.0028,-0.00038,-0.056
33,"Newtown Creek, Upper",Newtown Creek,True,-0.32,-5.2,32,37.0,-0.7,-0.51,7,5.4,0.016,0.014,-0.73,-0.75
34,"Newtown Creek, Lower",Newtown Creek,True,-0.032,-0.96,6.7,8.4,-0.14,-0.16,1.5,0.94,0.0042,0.002,-0.22,-0.1
35,Paerdegat Basin,Coney Island,True,-0.59,-90.0,-4.9,121.0,0.23,-2.3,31,7.7,0.043,0.072,-2.4,-2.4
36,Powell Cove,Tallman Island,True,-0.089,0.01,3.1,3.5,-0.026,-0.056,0.28,0.18,-0.00063,0.00046,-0.0031,-0.017
37,Sheepshead Bay,Coney Island,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
38,Spring Creek,26th Ward,True,0,-226.0,0,119.0,0,5.7,0,-1.8,0,0.0081,0,-2.4
39,Upper New York Bay,Owls Head,True,-1.3,-13.0,37,103.0,-0.42,-2.3,30,7.6,0.013,0.077,-1.3,-2.1
40,Westchester Creek,Hunts Point,True,-0.53,-8.4,20,39.0,-0.42,-0.72,16,5.8,0.026,0.019,-1.4,-0.84
41,Western Long Island Sound,Hunts Point,True,-0.05,-0.28,0.81,1.5,-0.003,-0.00067,0.4,0.13,-0.00077,0.00018,-0.0063,-0.018
42,Jamaica Bay (Queens),26th Ward,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
43,Bergen Basin,Jamaica,True,-0.69,-2.4,20,20.0,-0.24,-0.27,8.9,1.0,0.013,0.0033,-0.73,-0.16
44,Shellbank Basin,Jamaica,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
45,Thurston Basin,Jamaica,True,0.068,-5.4,1.5,14.0,-0.044,-0.2,8.9,1.3,0.0082,0.0035,-0.48,-0.18
